#C.D.S.  -  SIMBAD4 rel 1.7  -  2020.11.23EST20:49:13#
#
#Vmag < 3 & Vmag > 1
#-------------------
#
#Number of objects : 178
#
# # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
#---|-------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
39 |* iot Ori                |SB*|05 35 25.9819073 -05 54 35.643537      | 1.45 | 2.53 | 2.77 |     ~|     ~|O9IIIvar       | 733|   0
40 |* alf Lep                |V* |05 32 43.8161188 -17 49 20.241380      | 3.02 | 2.77 | 2.57 | 2.35 | 2.14 |F0Ib           | 271|   0
41 |* bet Lep                |** |05 28 14.7231588 -20 45 33.987791      | 4.13 | 3.66 | 2.84 | 2.19 | 1.75 |G5II-IIIa:     | 229|   0
42 |* zet Ori                |** |05 40 45.52666 -01 56 33.2649          | 0.50 | 1.56 | 1.77 | 1.85 | 2.05 |O9.7Ib+B0III   | 330|   0
43 |* zet Ori A              |** |05 40 45.527143 -01 56 33.26036        |     ~| 1.79 | 1.90 |     ~|     ~|O9.2IbvarNwk   | 645|   0
44 |* kap Ori                |s*b|05 47 45.3888404 -09 40 10.577707      | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia         | 549|   0
45 |* alf Col                |Be*|05 39 38.9410319 -34 04 26.794991      | 2.10 | 2.53 | 2.65 | 2.65 | 2.74 |B9Ve           | 226|   0
46 |* bet Aur                |Al*|05 59 31.7229284 +44 56 50.757259      | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp        | 403|   0
47 |* tet Aur                |a2*|05 59 43.27012 +37 12 45.3047          | 2.36 | 2.54 | 2.62 | 2.62 | 2.68 |A0VpSi         | 264|   0
48 |* mu. Gem                |LP*|06 22 57.62686 +22 30 48.8979          | 6.37 | 4.51 | 2.87 | 1.30 |-0.08 |M3IIIab        | 367|   1
49 |* bet CMa                |bC*|06 22 41.9853527 -17 57 21.307352      | 0.77 | 1.73 | 1.97 | 2.11 | 2.35 |B1II-III       | 687|   0
50 |* eps Gem                |V* |06 43 55.9262590 +25 07 52.051484      | 5.85 | 4.39 | 2.98 | 2.01 | 1.40 |G8Ib           | 380|   0
51 |* gam Gem                |SB*|06 37 42.71050 +16 23 57.4095          | 1.98 | 1.92 | 1.92 | 1.86 | 1.87 |A1.5IV+        | 487|   0
52 |C 0652-245               |OpC|06 56 20 -24 43.8                      |     ~| 3.02 | 2.6  |     ~|     ~|~              | 139|   0
53 |* eps CMa                |*  |06 58 37.54876 -28 58 19.5102          | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II         | 464|   1
54 |* del CMa                |s*y|07 08 23.4840514 -26 23 35.518484      | 3.06 | 2.52 | 1.84 | 1.33 | 1.00 |F8Ia           | 327|   0
55 |Cl Collinder 135         |OpC|07 17 17 -36 49.0                      |     ~| 2.69 | 2.1  |     ~|     ~|~              |  62|   0
56 |* pi. Pup                |LP*|07 17 08.55678 -37 05 50.8962          | 5.57 | 4.32 | 2.70 | 1.46 | 0.55 |K4III          | 103|   0
57 |* bet CMi                |Be*|07 27 09.0417373 +08 17 21.536745      | 2.52 | 2.80 | 2.89 | 2.90 | 2.96 |B8Ve           | 362|   0
58 |* eta CMa                |s*b|07 24 05.70228 -29 18 11.1798          | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia           | 354|   0
59 |* alf Gem                |** |07 34 35.87319 +31 53 17.8160          | 1.64 | 1.62 | 1.58 | 1.51 | 1.52 |A1V+A2Vm       | 238|   0
60 |* alf Gem A              |SB*|07 34 35.862828 +31 53 17.79429        |     ~|     ~| 1.9  |     ~|     ~|A1.5IV+        | 380|   0
61 |* bet Gem                |PM*|07 45 18.94987 +28 01 34.3160          | 3.00 | 2.14 | 1.14 | 0.39 |-0.11 |K0IIIb         |1051|   1
62 |* zet Pup                |BY*|08 03 35.04754 -40 00 11.3321          | 0.89 | 1.98 | 2.25 | 2.36 | 2.58 |O4I(n)fp       |1097|   1
63 |* rho Pup                |dS*|08 07 32.6488235 -24 18 15.567946      | 3.43 | 3.24 | 2.81 | 2.46 | 2.25 |F5IIkF2IImF5II | 278|   0
64 |* alf Phe                |SB*|00 26 17.05140 -42 18 21.5539          |     ~| 3.46 | 2.37 |     ~|     ~|K0.5IIIb       | 143|   0
65 |* alf PsA                |** |22 57 39.04625 -29 37 20.0533          | 1.31 | 1.25 | 1.16 | 1.11 | 1.09 |A4V            |1126|   3
66 |* del Cap                |Al*|21 47 02.4442395 -16 07 38.233507      | 3.22 | 3.12 | 2.83 | 2.59 | 2.43 |kA5hF0mF2III   | 260|   0
67 |* bet Cet                |PM*|00 43 35.37090 -17 59 11.7827          | 3.90 | 3.02 | 2.01 | 1.29 | 0.78 |G9.5IIICH-1    | 500|   0
68 |* bet Aqr                |*  |21 31 33.5317148 -05 34 16.232006      | 4.27 | 3.71 | 2.89 | 2.29 | 1.84 |G0Ib           | 433|   0
69 |* alf Aqr                |*  |22 05 47.0359315 -00 19 11.456766      | 4.65 | 3.90 | 2.94 | 2.27 | 1.76 |G2Ib           | 423|   0
70 |* eps Peg                |LP*|21 44 11.1561394 +09 52 30.031152      | 5.61 | 3.91 | 2.39 | 1.34 | 0.58 |K2Ib-II        | 433|   0
71 |* alf Peg                |PM*|23 04 45.65345 +15 12 18.9617          | 2.38 | 2.44 | 2.48 | 2.47 | 2.50 |B9III          | 340|   0
72 |* gam Peg                |bC*|00 13 14.1512308 +15 11 00.936759      | 1.75 | 2.61 | 2.84 | 2.94 | 3.13 |B2IV           | 662|   0
73 |* bet Ari                |SB*|01 54 38.41099 +20 48 28.9133          | 2.88 | 2.78 | 2.65 | 2.51 | 2.43 |kA4hA5mA5Va    | 397|   0
74 |* alf Ari                |PM*|02 07 10.40570 +23 27 44.7032          | 4.29 | 3.17 | 2.01 | 1.15 | 0.54 |K2-IIIbCa-1    | 607|   1
